"Enclosure_Name";"Enclosure_IP";"Bay";"ProductName";"SerialNumber";"ServerName";"AssetTag";"CPU1";"CPU2";"Memory";"NIC1_MAC";"NIC2_MAC";"ManagementType";"ManagementIP";"ProcSingleCoreSpeed";"ProcCores";"ProcCoresLogical";"ProcCombinedCoresSpeed";"Eth0_IP";"Eth1_IP"
"Rack3Top";"10.100.203.122";"5";"ProLiant BL460c Gen9";"CZ35336PD1";"173035";;"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"6C:C2:17:40:30:A0";"6C:C2:17:40:30:A8";"iLO4";"10.100.203.105";"2.67";"8";"16";"21.36";"10.100.103.59";
"Rack3Top";"10.100.203.122";"6";"ProLiant BL460c Gen9";"CZ3519XHFJ";"178361";;"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"8C:DC:D4:1D:50:10";"8C:DC:D4:1D:50:18";"iLO4";"10.100.203.106";"2.67";"8";"16";"21.36";"10.100.103.59";
"Rack3Top";"10.100.203.122";"7";"ProLiant BL460c Gen9";"CZ26460536";"171849";"171849";"Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz (10 cores)";"524288 MB";"9C:DC:71:65:57:50";"9C:DC:71:65:57:58";"iLO4";"10.100.203.107";"2.67";"8";"16";"21.36";"10.100.103.59";
"Rack3Top";"10.100.203.122";"8";"ProLiant BL460c Gen8";"CZJ23605CL";"176844";"176844";"Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz (8 cores)";"Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz (8 cores)";"64";"74:46:A0:F5:0E:58";"74:46:A0:F5:0E:5C";"iLO4";"10.100.203.108";"2";"16";"32";"32";;
"Rack3Top";"10.100.203.122";"9";"ProLiant BL460c G7";"CZJ20501CK";"179400";"179400";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"96";"6C:3B:E5:AC:5D:D0";"6C:3B:E5:AC:5D:D4";"iLO3";"10.100.203.109";"3.07";"12";"24";"36.84";"10.100.101.63";
"Rack3Top";"10.100.203.122";"10";"ProLiant BL460c G7";"CZ31524LFR";"164284";"164284";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"96";"9C:8E:99:31:87:98";"9C:8E:99:31:87:9C";"iLO3";"10.100.203.110";"3.07";"12";"24";"36.84";;
"Rack3Top";"10.100.203.122";"11";"ProLiant BL460c G7";"CZ315251LN";"161739";"161739";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"192";"9C:8E:99:23:8F:60";"9C:8E:99:23:8F:64";"iLO3";"10.100.203.111";"3.07";"12";"24";"36.84";"10.100.101.80";
"Rack3Top";"10.100.203.122";"12";"ProLiant BL460c G7";"CZJ1018GS4";"171651";"171651";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"192";"3C:4A:92:DD:DD:D8";"3C:4A:92:DD:DD:DC";"iLO3";"10.100.203.112";"2.93";"12";"24";"35.16";"10.100.102.84";
"Rack3Top";"10.100.203.122";"13";"ProLiant BL460c Gen9";"CZ3548NMSL";"177212";"177212";"Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz (6 cores)";"Not present";"131072 MB";"50:01:43:80:22:72";"50:01:43:80:22:72";"iLO4";"10.100.203.113";"2.93";"12";"24";"35.16";"10.100.102.84";
"Rack3Top";"10.100.203.122";"14";"ProLiant BL460c Gen9";"CZ2549017R";"172177";"172177";"Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz (6 cores)";"Not present";"49152 MB";"50:01:43:80:22:72";"50:01:43:80:22:72";"iLO4";"10.100.203.114";"2.93";"12";"24";"35.16";"10.100.102.84";
